class_id,class_name,iou,accuracy,gt_pixels,present
90,snow peas,0.352728555637949,0.46730483132299483,1029097,True
91,cabbage,0.24929693587780233,0.38441753126895645,1462233,True
92,bean sprouts,0.3404364543972976,0.3907908409719433,602422,True
93,onion,0.3660709483526316,0.5680272523983898,3031513,True
94,pepper,0.4014973001188455,0.5214005463746885,3826678,True
95,green beans,0.7828611125310371,0.8682120833199739,2152041,True
96,French beans,0.6089217734893526,0.8343010695239869,3855734,True
97,king oyster mushroom,0.0,0.0,45700,True
98,shiitake,0.18549913547387967,0.25334963255675114,2110530,True
99,enoki mushroom,0.0,0.0,79788,True
100,oyster mushroom,0.0,0.0,29612,True
101,white button mushroom,0.305255073909733,0.506499928117417,1377246,True
102,salad,0.0,0.0,226268,True
103,other ingredients,0.005407131912968332,0.0068761700464538555,2801705,True
